ppm,Intensity
-168.687,-1916528
-168.681,-1919804
-168.675,-1921648
-168.669,-1922078
-168.663,-1921112
-168.657,-1918778
-168.651,-1915108
-168.645,-1910142
-168.639,-1903918
-168.633,-1896486
-168.627,-1887894
-168.621,-1878198
-168.615,-1867458
-168.609,-1855736
-168.603,-1843098
-168.597,-1829610
-168.591,-1815344
-168.585,-1800374
-168.579,-1784774
-168.573,-1768622
-168.567,-1751992
-168.56,-1734966
-168.554,-1717622
-168.548,-1700040
-168.542,-1682298
-168.536,-1664476
-168.53,-1646650
-168.524,-1628898
-168.518,-1611296
-168.512,-1593916
-168.506,-1576832
-168.5,-1560110
-168.494,-1543818
-168.488,-1528022
-168.482,-1512780
-168.476,-1498150
-168.47,-1484188
-168.464,-1470940
-168.458,-1458454
-168.452,-1446772
-168.446,-1435930
-168.44,-1425960
-168.434,-1416894
-168.428,-1408750
-168.422,-1401552
-168.416,-1395308
-168.41,-1390028
