ppm,Intensity
-130.934,-1428200
-130.928,-1389600
-130.922,-1338805
-130.916,-1276855
-130.91,-1205020
-130.904,-1124745
-130.898,-1037625
-130.892,-945335
-130.886,-849595
-130.88,-752115
-130.874,-654560
-130.868,-558505
-130.862,-465414
-130.856,-376614.5
-130.85,-293275
-130.843,-216400.5
-130.837,-146829
-130.831,-85236
-130.825,-32139.15
-130.819,12085.95
-130.813,47194.8
-130.807,73055.5
-130.801,89633
-130.795,96973
-130.789,95191.5
-130.783,84457.5
-130.777,64988.5
-130.771,37043.95
-130.765,921.875
-130.759,-43040.05
-130.753,-94465
-130.747,-152927
-130.741,-217950.5
-130.735,-289003.5
-130.729,-365490.5
-130.723,-446751.5
-130.717,-532055
-130.711,-620610
-130.705,-711550
-130.699,-803955
-130.692,-896860
-130.686,-989265
-130.68,-1080140
-130.674,-1168460
-130.668,-1253215
-130.662,-1333435
-130.656,-1408200
-130.65,-1476680
-130.644,-1538125
-130.638,-1591910
-130.632,-1637525
-130.626,-1674610
-130.62,-1702940
-130.614,-1722440
-130.608,-1733180
-130.602,-1735370
-130.596,-1729365
-130.59,-1715630
-130.584,-1694745
-130.578,-1667390
-130.572,-1634320
-130.566,-1596350
-130.56,-1554320
-130.554,-1509125
-130.548,-1461630
-130.542,-1412710
-130.535,-1363210
-130.529,-1313940
-130.523,-1265640
-130.517,-1219010
-130.511,-1174680
-130.505,-1133195
-130.499,-1095040
-130.493,-1060600
-130.487,-1030200
-130.481,-1004075
-130.475,-982380
-130.469,-965195
-130.463,-952520
-130.457,-944295
-130.451,-940380
-130.445,-940580
-130.439,-944635
-130.433,-952235
-130.427,-963020
-130.421,-976595
-130.415,-992520
-130.409,-1010340
-130.403,-1029570
-130.397,-1049720
-130.391,-1070300
-130.384,-1090825
-130.378,-1110825
-130.372,-1129860
-130.366,-1147510
-130.36,-1163410
-130.354,-1177225
-130.348,-1188685
-130.342,-1197560
-130.336,-1203680
-130.33,-1206940
-130.324,-1207280
-130.318,-1204690
-130.312,-1199225
-130.306,-1190970
-130.3,-1180045
-130.294,-1166610
-130.288,-1150845
-130.282,-1132950
-130.276,-1113130
-130.27,-1091585
-130.264,-1068535
-130.258,-1044165
-130.252,-1018660
-130.246,-992190
-130.24,-964900
-130.234,-936915
-130.227,-908345
-130.221,-879270
-130.215,-849760
-130.209,-819850
-130.203,-789570
-130.197,-758930
-130.191,-727915
-130.185,-696510
-130.179,-664665
-130.173,-632335
-130.167,-599455
-130.161,-565940
-130.155,-531700
-130.149,-496636.5
-130.143,-460639
-130.137,-423592
-130.131,-385376.5
-130.125,-345878
-130.119,-304988.5
-130.113,-262616
-130.107,-218692
-130.101,-173177
-130.095,-126073
-130.089,-77430.5
-130.083,-27357.4
-130.077,23972.15
-130.07,76315
-130.064,129351
-130.058,182681.5
-130.052,235832
-130.046,288253.5
-130.04,339331.5
-130.034,388395
-130.028,434730
-130.022,477597
-130.016,516250
-130.01,549950
-130.004,578005
-129.998,599770
-129.992,614695
-129.986,622315
-129.98,622295
-129.974,614435
-129.968,598685
-129.962,575140
-129.956,544055
-129.95,505850
-129.944,461079
-129.938,410427
-129.932,354694.5
-129.926,294772.5
-129.919,231615
-129.913,166212.5
-129.907,99558.5
-129.901,32625
-129.895,-33670.4
-129.889,-98491.5
-129.883,-161103.5
-129.877,-220895
-129.871,-277391.5
-129.865,-330264
-129.859,-379332.5
-129.853,-424560
-129.847,-466049
-129.841,-504020
-129.835,-538805
-129.829,-570810
-129.823,-600500
-129.817,-628375
-129.811,-654935
-129.805,-680660
-129.799,-705995
-129.793,-731310
-129.787,-756900
-129.781,-782970
-129.775,-809630
-129.769,-836885
-129.762,-864645
-129.756,-892750
-129.75,-920935
-129.744,-948905
-129.738,-976310
-129.732,-1002775
-129.726,-1027930
-129.72,-1051410
-129.714,-1072895
-129.708,-1092095
-129.702,-1108780
-129.696,-1122790
-129.69,-1134015
-129.684,-1142410
-129.678,-1147985
-129.672,-1150805
-129.666,-1150960
-129.66,-1148555
-129.654,-1143715
-129.648,-1136550
-129.642,-1127150
-129.636,-1115565
-129.63,-1101820
-129.624,-1085875
-129.618,-1067665
-129.611,-1047065
-129.605,-1023930
-129.599,-998085
-129.593,-969355
-129.587,-937575
-129.581,-902605
-129.575,-864370
-129.569,-822855
-129.563,-778145
-129.557,-730425
-129.551,-679990
-129.545,-627260
-129.539,-572780
-129.533,-517200
-129.527,-461287.5
-129.521,-405880.5
-129.515,-351885
-129.509,-300240.5
-129.503,-251890
-129.497,-207743
-129.491,-168645
-129.485,-135341.5
-129.479,-108448
-129.473,-88421.5
-129.467,-75537.5
-129.461,-69877
-129.454,-71311.5
-129.448,-79507.5
-129.442,-93930
-129.436,-113859
-129.43,-138409.5
-129.424,-166562.5
-129.418,-197198
-129.412,-229136
-129.406,-261175.5
-129.4,-292137
-129.394,-320909
-129.388,-346481.5
-129.382,-367985
-129.376,-384720
-129.37,-396180.5
-129.364,-402069.5
-129.358,-402305
-129.352,-397023.5
-129.346,-386566
-129.34,-371464
-129.334,-352414.5
-129.328,-330248.5
-129.322,-305900
-129.316,-280363
-129.31,-254656
-129.303,-229779.5
-129.297,-206680.5
-129.291,-186216.5
-129.285,-169124
-129.279,-155994.5
-129.273,-147257
-129.267,-143163.5
-129.261,-143786
-129.255,-149019
-129.249,-158588
-129.243,-172062.5
-129.237,-188880.5
-129.231,-208367.5
-129.225,-229769.5
-129.219,-252276.5
-129.213,-275055.5
-129.207,-297280
-129.201,-318154.5
-129.195,-336942
-129.189,-352984
-129.183,-365719.5
-129.177,-374696.5
-129.171,-379580.5
-129.165,-380162
-129.159,-376352.5
-129.153,-368183
-129.146,-355797
-129.14,-339439.5
-129.134,-319446.5
-129.128,-296230
-129.122,-270265
-129.116,-242073.5
-129.11,-212212
-129.104,-181254
-129.098,-149781
-129.092,-118365.5
-129.086,-87567
-129.08,-57912.5
-129.074,-29896.95
-129.068,-3968.75
-129.062,19473.15
-129.056,40088.85
-129.05,57599.5
-129.044,71795
-129.038,82536.5
-129.032,89760.5
-129.026,93482
-129.02,93793.5
-129.014,90868
-129.008,84955.5
-129.002,76380.5
-128.996,65536
-128.989,52876.5
-128.983,38907.25
-128.977,24171.85
-128.971,9237.8
-128.965,-5320.3
-128.959,-18939.95
-128.953,-31087.9
-128.947,-41282.7
-128.941,-49113.3
-128.935,-54258
-128.929,-56500.5
